"","region","neighbors","posa","geo_grain"
"1","BUSAN_GWANGYEOG_SI","BUSAN_GWANGYEOG_SI","KOR","adju_geo_region_name"
"2","BUSAN_GWANGYEOG_SI","GYEONGSANGNAM_DO","KOR","adju_geo_region_name"
"3","BUSAN_GWANGYEOG_SI","INCHEON_GWANGYEOG_SI","KOR","adju_geo_region_name"
"4","BUSAN_GWANGYEOG_SI","ULSAN_GWANGYEOG_SI","KOR","adju_geo_region_name"
"5","CHUNGCHEONGBUG_DO","CHUNGCHEONGBUG_DO","KOR","adju_geo_region_name"
"6","CHUNGCHEONGBUG_DO","CHUNGCHEONGNAM_DO","KOR","adju_geo_region_name"
"7","CHUNGCHEONGBUG_DO","DAEJEON_GWANGYEOG_SI","KOR","adju_geo_region_name"
"8","CHUNGCHEONGBUG_DO","GANGWEON","KOR","adju_geo_region_name"
"9","CHUNGCHEONGBUG_DO","GANGWEON_DO","KOR","adju_geo_region_name"
"10","CHUNGCHEONGBUG_DO","GYEONGGI_DO","KOR","adju_geo_region_name"
"11","CHUNGCHEONGBUG_DO","GYEONGSANGBUG_DO","KOR","adju_geo_region_name"
"12","CHUNGCHEONGBUG_DO","JEONRABUG_DO","KOR","adju_geo_region_name"
"13","CHUNGCHEONGBUG_DO","SEJONG","KOR","adju_geo_region_name"
"14","CHUNGCHEONGNAM_DO","CHUNGCHEONGBUG_DO","KOR","adju_geo_region_name"
"15","CHUNGCHEONGNAM_DO","CHUNGCHEONGNAM_DO","KOR","adju_geo_region_name"
"16","CHUNGCHEONGNAM_DO","DAEJEON_GWANGYEOG_SI","KOR","adju_geo_region_name"
"17","CHUNGCHEONGNAM_DO","GYEONGGI_DO","KOR","adju_geo_region_name"
"18","CHUNGCHEONGNAM_DO","JEONRABUG_DO","KOR","adju_geo_region_name"
"19","CHUNGCHEONGNAM_DO","SEJONG","KOR","adju_geo_region_name"
"20","DAEGU","DAEGU","KOR","adju_geo_region_name"
"21","DAEGU","DAEGU_GWANGYEOG_SI","KOR","adju_geo_region_name"
